0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,c01
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c02
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c03
0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c04
0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c05
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c06
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c07
1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,c08
0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,c09
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c10
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c11
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,c12
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,c13
0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c14
0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,c15
0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,c16
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c17
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,c18
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,c19
0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c20
0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c21
0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,c22
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c23
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,c24
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c25
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c26
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c27
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c28
1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,c29
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c30
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,c31
0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c32
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c33
0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,c34
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c35
0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c36
0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,c37
0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c38
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c39
0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c40
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,c41
1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,c42
1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,c43
0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,c44
